"Characters","Vehicle","Tires","Glider","ID","Speed","Speed_Water","Speed_Air","Speed_Ground","Acceleration","Weight","Handling","Handling_Water","Handling_Air","Handling_Ground","Traction","Mini_Turbo"
"Light-A","Standard Kart","Group-F","Acceleration","Light-A-Standard Kart-Group-F-Acceleration",2.05,1.75,2.5,2.0,3.75,1.75,4.5,4.25,5.0,4.5,5.0,4.0
"Light-A","Standard Kart","Group-F","Speed","Light-A-Standard Kart-Group-F-Speed",2.05,1.75,2.75,2.0,3.5,2.0,4.5,4.25,4.75,4.5,5.0,3.75
"Light-B","Standard Kart","Group-F","Acceleration","Light-B-Standard Kart-Group-F-Acceleration",2.55,2.25,3.0,2.5,3.5,2.25,4.0,3.75,4.5,4.0,4.75,3.75
"Light-B","Standard Kart","Group-F","Speed","Light-B-Standard Kart-Group-F-Speed",2.55,2.25,3.25,2.5,3.25,2.5,4.0,3.75,4.25,4.0,4.75,3.5
"Medium-A","Standard Kart","Group-F","Acceleration","Medium-A-Standard Kart-Group-F-Acceleration",3.05,2.75,3.5,3.0,3.25,2.75,3.5,3.25,4.0,3.5,4.5,3.5
"Medium-A","Standard Kart","Group-F","Speed","Medium-A-Standard Kart-Group-F-Speed",3.05,2.75,3.75,3.0,3.0,3.0,3.5,3.25,3.75,3.5,4.5,3.25
"Medium-B","Standard Kart","Group-F","Acceleration","Medium-B-Standard Kart-Group-F-Acceleration",3.55,3.27,4.03,3.53,3.0,3.25,3.0,2.75,3.5,3.0,4.25,3.5
"Medium-B","Standard Kart","Group-F","Speed","Medium-B-Standard Kart-Group-F-Speed",3.55,3.27,4.28,3.53,2.75,3.5,3.0,2.75,3.25,3.0,4.25,3.25
"Heavy-A","Standard Kart","Group-F","Acceleration","Heavy-A-Standard Kart-Group-F-Acceleration",4.05,3.75,4.5,4.0,2.75,3.75,4.0,2.25,3.0,2.5,4.0,3.25
"Heavy-A","Standard Kart","Group-F","Speed","Heavy-A-Standard Kart-Group-F-Speed",4.05,3.75,4.75,4.0,2.5,4.0,4.0,2.25,2.75,2.5,4.0,3.0
"Heavy-B","Standard Kart","Group-F","Acceleration","Heavy-B-Standard Kart-Group-F-Acceleration",4.05,3.75,4.5,4.0,2.5,4.25,4.5,2.25,3.0,2.5,3.75,2.75
"Heavy-B","Standard Kart","Group-F","Speed","Heavy-B-Standard Kart-Group-F-Speed",4.05,3.75,4.75,4.0,2.25,4.5,4.5,2.25,2.75,2.5,3.75,2.5
"Heavy-C","Standard Kart","Group-F","Acceleration","Heavy-C-Standard Kart-Group-F-Acceleration",4.55,4.25,5.0,4.5,2.5,4.25,4.5,1.75,2.5,2.0,3.75,2.75
"Heavy-C","Standard Kart","Group-F","Speed","Heavy-C-Standard Kart-Group-F-Speed",4.55,4.25,5.25,4.5,2.25,4.5,4.5,1.75,2.25,2.0,3.75,2.5
"Light-A","Standard Kart","Group-C","Acceleration","Light-A-Standard Kart-Group-C-Acceleration",2.5,2.5,2.5,2.5,3.75,1.5,4.75,4.75,5.0,4.75,4.0,3.25
"Light-A","Standard Kart","Group-C","Speed","Light-A-Standard Kart-Group-C-Speed",2.5,2.5,2.75,2.5,3.5,1.75,4.75,4.75,4.75,4.75,4.0,3.0
"Light-B","Standard Kart","Group-C","Acceleration","Light-B-Standard Kart-Group-C-Acceleration",3.0,3.0,3.0,3.0,3.5,2.0,4.25,4.25,4.5,4.25,3.75,3.0
"Light-B","Standard Kart","Group-C","Speed","Light-B-Standard Kart-Group-C-Speed",3.0,3.0,3.25,3.0,3.25,2.25,4.25,4.25,4.25,4.25,3.75,2.75
"Medium-A","Standard Kart","Group-C","Acceleration","Medium-A-Standard Kart-Group-C-Acceleration",3.5,3.5,3.5,3.5,3.25,2.5,3.75,3.75,4.0,3.75,3.5,2.75
"Medium-A","Standard Kart","Group-C","Speed","Medium-A-Standard Kart-Group-C-Speed",3.5,3.5,3.75,3.5,3.0,2.75,3.75,3.75,3.75,3.75,3.5,2.5
"Medium-B","Standard Kart","Group-C","Acceleration","Medium-B-Standard Kart-Group-C-Acceleration",4.0,4.02,4.03,4.03,3.0,3.0,3.25,3.25,3.5,3.25,3.25,2.75
"Medium-B","Standard Kart","Group-C","Speed","Medium-B-Standard Kart-Group-C-Speed",4.0,4.02,4.28,4.03,2.75,3.25,3.25,3.25,3.25,3.25,3.25,2.5
"Heavy-A","Standard Kart","Group-C","Acceleration","Heavy-A-Standard Kart-Group-C-Acceleration",4.5,4.5,4.5,4.5,2.75,3.5,4.25,2.75,3.0,2.75,3.0,2.5
"Heavy-A","Standard Kart","Group-C","Speed","Heavy-A-Standard Kart-Group-C-Speed",4.5,4.5,4.75,4.5,2.5,3.75,4.25,2.75,2.75,2.75,3.0,2.25
"Heavy-B","Standard Kart","Group-C","Acceleration","Heavy-B-Standard Kart-Group-C-Acceleration",4.5,4.5,4.5,4.5,2.5,4.0,4.75,2.75,3.0,2.75,2.75,2.0
"Heavy-B","Standard Kart","Group-C","Speed","Heavy-B-Standard Kart-Group-C-Speed",4.5,4.5,4.75,4.5,2.25,4.25,4.75,2.75,2.75,2.75,2.75,1.75
"Heavy-C","Standard Kart","Group-C","Acceleration","Heavy-C-Standard Kart-Group-C-Acceleration",5.0,5.0,5.0,5.0,2.5,4.0,4.75,2.25,2.5,2.25,2.75,2.0
"Heavy-C","Standard Kart","Group-C","Speed","Heavy-C-Standard Kart-Group-C-Speed",5.0,5.0,5.25,5.0,2.25,4.25,4.75,2.25,2.25,2.25,2.75,1.75
"Light-A","Standard Kart","Group-B","Acceleration","Light-A-Standard Kart-Group-B-Acceleration",2.5,2.5,2.5,2.5,3.75,2.0,5.0,5.0,5.25,5.0,4.0,3.25
"Light-A","Standard Kart","Group-B","Speed","Light-A-Standard Kart-Group-B-Speed",2.5,2.5,2.75,2.5,3.5,2.25,5.0,5.0,5.0,5.0,4.0,3.0
"Light-B","Standard Kart","Group-B","Acceleration","Light-B-Standard Kart-Group-B-Acceleration",3.0,3.0,3.0,3.0,3.5,2.5,4.5,4.5,4.75,4.5,3.75,3.0
